SITE_NAME,AREA
BEAVERHEAD,5573.2
FLATHEAD,5255.5
PHILLIPS,5211.7
VALLEY,5061.7
ROSEBUD,5025.4
BIGHORN,5016.3
GARFIELD,4849.2
FERGUS,4350.4
BLAINE,4238.6
CHOUTEAU,3996.7
CUSTER,3793.0
LINCOLN,3675.1
MADISON,3603.4
LEWISANDCLARK,3497.9
CARTER,3348.1
POWDERRIVER,3298.8
GLACIER,3035.8
HILL,2916.5
PARK,2813.3
SANDERS,2790.0
CASCADE,2711.4
MCCONE,2682.1
YELLOWSTONE,2648.8
GALLATIN,2634.0
MISSOULA,2618.1
RAVALLI,2400.5
MEAGHER,2394.7
DAWSON,2383.5
ROOSEVELT,2368.3
POWELL,2332.7
TETON,2292.0
RICHLAND,2104.1
CARBON,2061.6
TOOLE,1944.6
MUSSELSHELL,1871.5
JUDITHBASIN,1870.5
SWEETGRASS,1862.2
STILLWATER,1806.7
PRAIRIE,1742.3
GRANITE,1732.8
SHERIDAN,1704.2
PETROLEUM,1674.5
JEFFERSON,1659.3
LAKE,1653.8
PONDERA,1641.6
FALLON,1622.5
LIBERTY,1447.1
WHEATLAND,1427.5
DANIELS,1426.5
BROADWATER,1237.9
MINERAL,1223.4
GOLDENVALLEY,1175.3
TREASURE,984.5
WIBAUX,889.1
DEERLODGE,741.2
SILVERBOW,718.6
